Lat,Long,Elev,Precip
36.733,-108.35,2752.344,206.396
36.75,-108.233,3115.056,275.725
36.8,-108.683,3139.44,237.505
36.833,-108,3261.36,246.949
36.917,-109.083,2657.856,226.433
37.2,-108.483,2621.28,445.914
37.233,-108.05,3084.576,476.85
37.35,-108.6,2895.6,328.621
37.35,-108.3,3261.36,446.035
37.383,-109.083,2956.56,296.532
37.43,-108.17,3020.568,834.609
37.44,-108.02,3474.72,1157.51
37.467,-108.5,2950.464,463.548
36.72,-106.26,3383.28,811.109
36.75,-106.45,3444.24,610.943
36.767,-106.55,3340.608,404.904
36.817,-107.617,3230.88,331.869
36.917,-106.583,3230.88,610.445
36.933,-107,3200.4,467.398
36.96,-106.66,3048,641.707
37.017,-107.417,3310.128,871.642
37.02,-106.45,3291.84,898.491
37.133,-106.033,3115.056,300.105
37.133,-107.633,2932.176,346.913
37.217,-107.267,3230.88,774.354
37.25,-107.017,2819.4,556.703
37.283,-107.883,3023.616,511.292
37.3,-107.85,2727.96,521.9
37.35,-106.533,2560.32,801.034
37.38,-106.55,2791.968,781.308
37.383,-107.65,2907.792,777.492
37.383,-107.583,2706.624,708.483
37.433,-107.15,2865.12,601.594
37.467,-106.783,2956.56,1127.26
37.48,-106.8,2651.76,1285.514
37.48,-107.63,2816.352,1002.953
37.483,-106.15,3200.4,1244.404
37.483,-106.867,2840.736,1037.612
37.49,-106.84,3474.72,1086.91
37.49,-107.51,3230.88,933.49
36.733,-105.6,2651.76,376.973
36.75,-104.5,3474.72,381.024
36.883,-104.45,3169.92,372.017
36.917,-104.433,2865.12,486.79
36.983,-104.367,3200.4,555.805
36.99,-105.26,2926.08,595.776
37.017,-104.483,3139.44,514.268
37.15,-104.55,3230.88,459.064
37.167,-105.933,3398.52,199.383
37.183,-105.417,3157.728,265.594
37.183,-104.483,2926.08,374.818
37.183,-104.517,3279.648,376.001
37.21,-105.2,3096.768,694.182
37.21,-105.12,3087.624,808.257
37.217,-105.05,3352.8,622.119
37.267,-104.333,3054.096,310.169
37.33,-105.07,3352.8,661.884
37.35,-105.23,2560.32,579.807
37.4,-104.65,3048,446.435
37.433,-105.867,2484.12,166.379
37.433,-105.517,2267.712,211.641
37.517,-108.75,2773.68,369.826
37.65,-108.01,3151.632,879.85
37.717,-108.033,2804.16,648.029
37.717,-109.083,2865.12,367.672
37.79,-108.02,3035.808,973.145
37.817,-109.017,2895.6,285.389
37.89,-108.2,2682.24,913.175
37.983,-108.033,3261.36,444.89
38.133,-108.283,3316.224,396.22
38.3,-109.217,2956.56,370.733
38.317,-109.25,3011.424,388.148
38.333,-108.883,2706.624,496.939
38.367,-108.95,3249.168,383.118
38.383,-108.983,3200.4,383.697
38.383,-108.75,3060.192,332.674
38.42,-108.38,2865.12,1066
38.48,-109.27,3429,923.97
38.667,-108.967,2987.04,286.714
38.75,-108.067,3108.96,202.323
39.05,-108.467,3486.912,221.85
39.05,-108.85,3316.224,647.268
39.05,-108.083,3535.68,830.451
39.06,-108.06,3398.52,995.582
39.1,-108.733,3413.76,281.729
39.117,-108.35,2718.816,260.601
39.133,-108.533,2590.8,210.424
39.167,-108.75,2377.44,258.041
39.45,-108.05,3048,425.979
36.733,-102.483,2865.12,497.478
36.75,-103.983,3048,655.309
36.75,-103.833,3108.96,413.762
36.783,-103.967,2926.08,395.292
36.9,-102.967,2773.68,370.378
36.933,-102.633,3287.268,410.709
37.017,-103.883,3002.28,469.269
37.017,-102.55,1612.4,442.249
37.117,-103.3,1950.7,397.334
37.133,-103.3,1383.8,474.843
37.3,-102.183,1421,380.508
37.367,-102.75,2296.1,369.671
37.383,-103.883,2535.9,380.016
37.383,-102.3,2627.4,483.296
37.45,-103.317,1730.7,389.497
37.517,-107.783,2651.8,670.57
37.55,-107.8,1598.1,645.689
37.583,-106.2,2718.8,263.102
37.62,-107.03,1262.5,1018.558
37.65,-107.81,1225.3,906.063
37.66,-107.8,1884.9,857.745
37.667,-107.8,1638.3,788.903
37.667,-106.317,2418.9,238.828
37.7,-107.78,2488.1,1328.876
37.7,-106.15,2283.6,203.271
37.71,-107.51,2204.9,1105.394
37.72,-107.26,2356.1,589.763
37.733,-107.267,2019,500.101
37.75,-107.69,1481.3,952.815
37.767,-107.133,1671.2,340.081
37.8,-107.92,3448.2,870.685
37.8,-106.833,2362.2,403.054
37.817,-107.667,2316.5,676.631
37.833,-107.883,2044,808.736
37.85,-107.73,3002.3,886.04
37.85,-106.917,1132.9,465.95
37.867,-107.883,1351.8,746.196
37.89,-107.71,1671.5,1155.644
37.93,-107.68,1196.3,772.517
37.95,-107.867,1918.1,611.226
37.99,-107.2,2920,627.932
38.017,-107.317,1473.4,341.006
38.017,-107.667,1528.9,622.23
38.083,-106.133,1631.9,227.071
38.15,-107.75,1713,438.06
38.267,-107.1,2255.5,713.338
38.4,-106.25,2417.1,848.636
38.4,-106.417,1283.2,372.439
38.4,-106.5,1478.9,305.96
38.45,-107.567,1554.5,336.609
38.45,-106.767,3054.1,273.301
38.467,-107.167,1255.2,209.929
38.483,-107.883,1624.6,320.638
38.483,-107.183,2550,712.462
38.49,-106.34,2699,690.674
38.533,-106.967,1936.1,263.695
38.533,-106.017,1903.2,248.601
38.533,-106.05,2081.8,658.031
38.6,-106.533,2338.7,507.286
38.617,-107.983,2097,1146.928
38.817,-106.617,1262.2,448.373
38.82,-106.59,1721.2,552.133
38.85,-107.617,1295.4,388.352
38.867,-106.133,2101.9,240.223
38.867,-107.583,3450.3,440.598
38.883,-106.983,2728,630.65
38.89,-106.95,2438.4,742.831
38.9,-107.933,1822.7,387.422
38.9,-107.9,1761.7,474.608
39.02,-107.05,1871.5,1481.015
39.03,-106.08,2901.1,756.529
39.05,-107.87,2410.1,1255.649
39.08,-106.61,2895.6,797.903
39.08,-107.14,1875.4,981.814
39.083,-106.617,1914.1,860.503
39.09,-106.54,1962.9,669.24
39.09,-107.63,2698.1,893.775
39.1,-107.9,2698.1,924.043
39.1,-106.35,2700.5,252.013
39.13,-107.29,2473.5,881.808
39.183,-106.833,1102.2,552.285
39.2,-107.3,1578.9,670.832
39.233,-106,1552,381.662
39.233,-106.3,2398.8,411.831
39.233,-106.317,1502.7,323.604
39.25,-106.5,1650.2,923.285
39.25,-107.967,1611.2,399.482
39.25,-106.367,1593.5,420.662
39.29,-106.55,1623.1,891.223
39.3,-106.61,2763,606.396
39.32,-106.61,1804.4,640.579
39.333,-106.333,1565.1,825.095
39.36,-106.06,2115.3,729.919
39.367,-107.033,1997,511.26
39.367,-106.75,2057.4,402.649
39.38,-106.2,1283.5,710.344
39.383,-106.2,1980.3,583.975
39.483,-106.05,2197.6,498.608
39.49,-106.17,2217.1,754.397
39.5,-108.383,2318,453.172
39.63,-108.22,1186.6,503.981
39.88,-108.6,1662.1,615.798
40,-108.2,2055.9,418.403
40.017,-109.183,2086.1,315.323
40.033,-109.117,2058.9,535.539
40.083,-108.767,2201.9,280.136
40.25,-108.967,2114.1,287.155
40.283,-108.6,2208,399.616
40.517,-108.1,2562.1,303.409
40.8,-108.917,2008.6,241.823
40.867,-109.017,2293.6,827.064
40.9,-109.15,2133.6,221.268
37.5,-105,3050.1,556.331
37.633,-104.017,1485.9,368.473
37.65,-104.767,1677.6,413.445
37.717,-105.317,1292.4,331.385
37.717,-105.233,2572.5,362.993
37.733,-105.517,1457.9,281.164
37.767,-105.183,1789.5,364.658
37.85,-105.44,1525.2,694.043
37.917,-104.933,1499.6,555.302
37.917,-104.95,2316.5,731.682
37.97,-105.54,1531,1587.987
37.983,-105.683,1320.4,348.331
38.033,-104.467,1694.7,358.211
38.117,-104,1319.8,248.992
38.117,-104.583,2610,424.316
38.133,-105.467,2609.1,337.7
38.133,-105.083,1365.5,587.692
38.183,-104.65,2122.9,409.574
38.217,-104.233,1386.8,617.671
38.267,-104.717,1709.3,286.518
38.283,-104.5,2596.9,290.978
38.283,-104.65,2240.3,340.382
38.317,-104.35,2521.9,297.252
38.383,-104.067,1752.6,355.957
38.417,-105.233,2318,311.661
38.45,-105.067,1475.2,420.641
38.683,-104.767,1450.8,353.83
38.683,-104.7,2657.9,404.471
38.683,-105.4,2526.2,389.745
38.717,-105.15,1552,652.572
38.817,-104.717,2644.1,386.199
38.817,-104.983,2475,767.441
38.85,-104.967,1417.9,543.687
38.867,-104.1,1437.1,358.995
38.9,-105.467,2359.2,318.482
38.917,-105.283,2423.2,381.936
39,-105.9,1549,278.145
39.017,-104.6,2499.4,533.512
39.033,-104.667,2328.7,631.303
39.033,-105.8,1898.9,481.452
39.083,-104.55,2705.1,751.857
39.083,-104.917,1379.2,636.773
39.1,-104.867,1805.9,562.84
39.117,-104.6,1962.9,467.561
39.117,-104.617,2743.2,594.821
39.117,-104.917,2365.2,568.373
39.167,-104.567,1033.3,533.786
39.167,-104.6,1136.9,603.987
39.2,-104.5,2318,657.352
39.217,-105.283,2901.7,420.425
39.217,-104.55,1531.6,485.812
39.25,-104.583,2306.1,744.94
39.267,-104.967,1208.5,799.37
39.283,-105.833,1969,540.756
39.283,-104.433,3218.1,808.487
39.283,-104.917,2145.8,595.017
39.3,-104.517,1295.7,612.48
39.367,-104.833,1162.5,422.172
39.367,-104.567,3148,506.226
39.4,-105.483,1057.4,450.851
39.4,-104.95,1546.9,442.847
39.4,-105.183,1676.7,442.801
39.43,-105.92,1600.2,787.114
39.433,-105.067,1569.4,636.156
39.433,-105.117,1615.4,541.353
39.467,-105.683,1937,418.664
39.483,-105.1,1998,449.598
39.533,-107.317,1304.5,466.262
39.533,-107.8,1405.1,322.406
39.567,-107.233,2252.5,560.317
39.6,-107.95,1634.9,694.024
39.62,-106.38,1281.1,948.623
39.633,-106.517,1280.8,420.776
39.633,-106.033,1292.4,351.085
39.65,-106.917,2642.6,269.04
39.667,-106.367,2596.9,578.69
39.72,-106.16,3127.9,625.914
39.76,-107.36,1719.1,1055.627
39.88,-107.6,1105.2,830.008
39.883,-106.683,2087.9,278.211
39.883,-106.333,1185.7,338.093
39.917,-106.117,2144,396.639
40,-107.24,3062,928.626
40.017,-107.433,3029.1,674.609
40.017,-107.967,2464.3,347.889
40.033,-107.517,1362.5,598.426
40.033,-107.917,1495,492.751
40.033,-106.2,1695.9,349.423
40.05,-106.133,1637.1,364.444
40.05,-106.383,1695.3,302.48
40.08,-106.67,1677.6,606.2
40.11,-107.29,1490.5,1090.041
40.15,-106.467,1946.1,339.006
40.15,-106.917,1871.5,395.39
40.17,-107.06,1618.5,738.413
40.23,-106.6,1508.8,758.298
40.233,-107.083,1536.2,552.709
40.35,-106.09,2343.9,676.1
40.367,-107.617,2127.5,507.482
40.37,-106.74,3308.9,1173.211
40.39,-106.6,1685.2,960.632
40.45,-107.583,2239.1,408.752
40.45,-106.183,2377.4,379.838
40.467,-106.467,1885.2,376.345
40.5,-107.25,1777,446.738
40.5,-106.867,1800.8,645.319
40.53,-106.78,1883.7,974.117
40.533,-107.55,1934.6,413.833
40.54,-106.68,2385.1,1410.288
40.733,-106.283,2988.9,282.246
40.82,-106.75,2168.7,1050.06
40.85,-106.97,2331.7,767.106
40.88,-106.05,2339.3,828.024
40.967,-106,1763.6,380.22
41,-106.91,1763.3,1057.788
41.033,-107.65,2239.1,231.92
41.033,-107.533,2157.4,442.785
41.05,-107.27,3240,626.409
41.083,-106.15,2511.6,464.222
41.11,-107.17,1457.9,789.935
41.15,-106.97,1578.9,1346.302
41.16,-106.93,2036.1,1070.563
41.183,-106.617,1635.6,333.795
37.667,-103.917,2684.1,486.007
37.717,-103.483,2139.7,344.68
37.967,-103.55,1583.7,429.527
38.033,-103.7,1634.9,271.338
38.05,-102.117,1315.2,363.399
38.05,-103.533,1453,279.983
